,0,1,2,3,4,5,6,7,8,9,10
0,3.2569156186974753,3.255214920287862,3.174944822042392,3.2061227639618264,3.1648798581352064,3.1724542691945326,3.199242218582579,3.2062342884819475,3.2085702484029848,3.315079941699021,3.3170045464774045
1,3.151805334082063,3.1480392613744708,3.1422669145426463,3.1383611161900133,3.1361769875009227,3.125693934039884,3.147535437137611,3.140398037607256,3.1498828371564853,3.150623551584054,3.142603446183914
2,2.9340072265663317,2.9333665921188077,2.9333665921188077,2.923855169502885,2.879568042043175,2.8789986512951407,2.819138260682421,2.905298082198535,2.9248708208268472,2.870380246380401,2.8102497466333713
3,2.930494203837622,2.882119372739936,2.936738043148016,2.9313645685067016,2.8732273057871165,2.922466399484656,2.875431843314436,2.9116439694826868,2.9099540939528783,2.9170792529439016,2.935180725875363
4,2.9163429701517103,2.899069244494121,2.904574733973512,2.902280899527694,2.901439388997183,2.9046011328065338,2.8931375070031025,2.8958953937618994,2.8968263166281787,2.9126772989487084,2.9132248927330497
5,2.739273496120297,2.7381342838385416,2.7256050164006034,2.6580302914773375,2.652851323318943,2.6449897832713694,2.7093367824183816,2.71384563163258,2.7144691913503327,2.7265397919679026,2.7061230698887297
6,2.4569629134411852,2.4607070924488395,2.464159815022354,2.460691148555766,2.4543643568565843,2.461496184201157,2.465099988648133,2.451716390135816,2.4632394582858734,2.4629220186665504,2.4619209525136707
7,2.3751134992666443,2.37431959292097,2.379529551146791,2.365135859517963,2.3679058093131213,2.371591209213582,2.3662523431279667,2.37222153257456,2.3702750070015126,2.377239523974565,2.377196109197931
8,2.5348304930366563,2.5334909007211013,2.6098672252371666,2.531859019571479,2.4479472206265105,2.5285670660823403,2.525174391538009,2.5335509221363277,2.531859019571479,2.449076991834244,2.5312112476970716
9,2.5884557797393066,2.5903925161701666,2.587718322816025,2.5937860273139255,2.5911221524640373,2.5885881254156407,2.598501902245499,2.598501902245499,2.600418797332499,2.5978928757621045,2.5903820222551888
10,2.9045945246761136,2.9065186949366413,2.9031957362494247,2.9007161790264,2.899369543788846,2.9040531345414093,2.901133357877759,2.900186638899708,2.8982269051522964,2.894692794220737,2.9007149315956884
11,3.275178694804621,3.272148675097949,3.271694322040064,3.2703483383404164,3.2716740306900878,3.2752461057337836,3.272682338929166,3.2763917851990927,3.272760595512513,3.274127776094488,3.2743312540680707
12,2.792086642385397,2.7895831464452097,2.788028728479663,2.7856404305836597,2.733726577858914,2.723902545745486,2.782776883309805,2.7768174488893766,2.7946331079567748,2.7883611799200354,2.7895831464452097
13,2.691538610893834,2.687713742010352,2.693856031380728,2.6945330043761726,2.6945333072980917,2.6960759357420527,2.6978083576144445,2.626946915436821,2.6955350645985683,2.687344070212016,2.6919195991649283
