,0,1,2,3,4,5,6,7,8,9
0,2.9651529783317963,3.0485171290981175,2.94534013786493,3.048114649478903,3.005786482011711,2.963009412806208,3.0477953453794053,2.9490703064673385,3.0026039200632795,3.006884276294659
1,2.4773842263351673,2.480559878088871,2.480046860648719,2.4737260809658417,2.4785909268759574,2.4690113938478953,2.4737260809658417,2.474785552338488,2.4773842263351673,2.478858799046098
2,2.6260355588629913,2.6922265860299373,2.6852331286101685,2.6830710648086122,2.698487455353565,2.6953955815467396,2.6974151814595078,2.6974151814595078,2.6887197516376733,2.622528679624662
3,2.5592990452450946,2.5308042854845745,2.4790166816059815,2.6075988919691757,2.5390393044957147,2.557704617231749,2.5417008986888843,2.55152869417159,2.624418523617637,2.5471958137155877
4,2.818282765840487,2.8761511665124573,2.686162694870626,2.753091504856879,2.686162694870626,2.818282765840487,2.7576010633057604,2.7532766438102168,2.6930965030736718,2.753091504856879
5,2.447070186764032,2.4672285166644574,2.452434877562832,2.4575985174751285,2.45269711726567,2.4575985174751285,2.461763855505567,2.4497435564031846,2.449808033821851,2.448337427036001
6,3.1206985022179397,3.1215065205205907,3.1209011126833683,3.117631589374653,3.120079908517235,3.1206985022179397,3.1215065205205907,3.1209011126833683,3.117349284977043,3.120079908517235
7,3.166062108921625,3.12090052766523,3.1639474227632665,3.1668012229752733,3.1568295928611225,3.1675696645649465,3.1194167311738568,3.1638517937132957,3.1640116777898593,3.164541336291262
8,1.594561464391672,1.3581542588332303,1.3715026573146285,1.5745207675794883,1.571891758405421,1.5866208343648007,1.581302784163405,1.595863978993131,1.9309328807233928,1.368288689236094
9,2.3667653008793175,2.3666044298668676,2.263660947787387,2.3517532429739623,2.438863757822451,2.5116299478102357,2.523350723671071,2.3454676734214104,2.6119880484967597,2.2974144725242818
10,3.023171562634739,3.023908831324192,3.025553237138467,3.022698554323096,3.0205456133044746,3.023145423755951,3.0236398821129584,3.0245732764530286,3.0222615078579445,3.023908831324192
11,2.794617112332764,2.7909488551047463,2.7955323363400386,2.7438086004421383,2.7489633418116775,2.794617112332764,2.7909488551047463,2.8005961512307236,2.7970745866510227,2.743604884653806
12,2.8735777732867565,2.8714295415790834,2.871353744553365,2.8746598565130945,2.8765163444885724,2.8701598879250865,2.872489249544732,2.879582546994164,2.8765732710852117,2.876726468538014
