,0,1,2,3,4,5,6
0,2.8725296720403275,2.8744566160319938,2.8685332459883846,2.867916663782377,2.8741863358039508,2.8717289986034458,2.8716417539932144
1,2.4485638752564194,2.450446868942814,2.4552070749442247,2.4527105143585555,2.444380679147115,2.4482630622963963,2.4571800220917233
2,2.694226851452906,2.6881356636518126,2.696564273769925,2.697055778277655,2.7032947577052733,2.6962804584720446,2.6897882722854427
3,2.547762756285553,2.548811568575358,2.544448252506114,2.5473527649458383,2.5443415476000024,2.555700420810594,2.547492570524777
4,2.5250241399647484,2.5273726395586475,2.5230341527178934,2.526298673757499,2.530029162837896,2.526414765076942,2.5297795622554573
5,2.173255270328918,2.0596729421369684,2.179381062800436,2.171780066782456,2.187993001574875,2.179585929525048,2.1578839847790277
6,1.7870040240534473,1.7817290985591967,1.7866481808645636,1.7748689291210795,1.7698834436642874,1.7817290985591967,1.777538877844348
7,2.528765881248985,2.5302959652256063,2.5267271246298835,2.5233342372308285,2.5195895244521416,2.5235198085403736,2.5312761387985483
8,2.445575330014296,2.445575330014296,2.4417631734623084,2.446564852744595,2.4417099721451123,2.450446868942814,2.444241473844171
9,3.6343212488078045,3.6606155269476783,3.6766541945564946,3.6326526130285806,3.613541286802076,3.6140369017461675,3.612276278170475
10,2.5491508366261604,2.5491508366261604,2.549647336437213,2.5518166311659307,2.551344670812493,2.549784980529771,2.5511648376607003
11,2.6179906938667243,2.6174422650237856,2.6218448029529755,2.6179906938667243,2.6179906938667243,2.6174422650237856,2.6216136501053513
12,2.05505136357574,2.0563851194049194,2.056733833761,2.0590607252976545,2.0590607252976545,2.045681542093207,2.058344672711068
13,2.5415874821557765,2.5399907799000156,2.5410350345617534,2.542640237841357,2.544414630139103,2.5437430785195794,2.54639213824153
14,2.7017996843703598,2.70513955957323,2.7016216744863453,2.7018257017296152,2.7051497853381123,2.706511121591664,2.704644868675712
15,2.7948072406431677,2.7894215137785188,2.7894215137785188,2.7788897589682633,2.783286877432653,2.789146207060885,2.790734725628789
16,2.371597024497257,2.3649131968892148,2.371597024497257,2.3645557033959625,2.356826014670863,2.3504495954866096,2.3642552707081035
17,2.6852707862712086,2.6825845381210613,2.684224024312678,2.680539648401901,2.6805894159173116,2.684224024312678,2.684224024312678
18,2.544415590122197,2.545745743385428,2.5434404108943784,2.542194458008903,2.542018887909016,2.546719097123566,2.551543253906499
