,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.368288693715818,1.368288693715818,1.5769768944578648,1.3822583137893192,1.5600736920438978,1.606414207690506,1.7705923864045798,1.7534873914428175,1.7797917099044647,1.7874126975289257,1.9293814990647162,1.76037129060574,1.75956333379861,1.3641839220878516,1.5813027913839017
1,2.1240038230672855,2.4465944539053224,2.7824089286961033,2.9220980193536485,2.9301117396285674,2.5487024788281136,2.5312363087919163,2.541094657812905,2.5226046679388845,2.3192099411770264,2.4854735963483385,2.417873311371044,2.5932926385004946,2.5928119650360446,2.4057720459403367
2,2.6838583656119037,2.6879353559321784,2.688411165105636,2.6898464737580934,2.6893722020967434,2.689930103880541,2.689930103880541,2.6903230069048694,2.6893722020967434,2.6882047872205836,2.6892064037865073,2.6898464737580934,2.6866938120059745,2.6875290343168685,2.6855357445343455
3,2.8139485178761543,2.8121952317582664,2.810438905111511,2.8061627719395013,2.8079267152863,2.8105669489362635,2.811994451642823,2.8121952317582664,2.808284619557799,2.810235456359582,2.8119475729589105,2.807731522573297,2.8088135042767375,2.805964915206776,2.811994451642823
4,3.255323999504068,3.2641488374116268,3.29229312493719,3.2313357565532033,3.23606819804049,3.260115036154374,3.301474113423656,3.300409454169319,3.2689769020512713,3.1908005833021846,3.228811685051117,3.265461115887749,3.294324819933859,3.2592662926929727,3.231451701160285
5,2.862251984499089,2.915681451193069,2.795338989162018,2.8576622586183715,2.8494646072748795,2.904890188148523,2.9099540939528783,2.7312851484775535,2.905453697150274,2.906177324493575,2.898302240522764,2.899083049411937,2.786423848167171,2.8545591721505152,2.855490473884046
6,2.9677706254893845,2.963019690055394,3.0154114007621207,3.067496071209442,3.0664504876085092,3.013999822156779,2.9666091366100384,3.0148528891962414,2.9755505158239917,2.9661729025535997,2.9653673331698913,2.995598996758373,3.0103583891472017,3.0146694609355786,3.013578193328825
7,2.6109640397410905,2.612777209746986,2.610867885264613,2.613563192654839,2.613563192654839,2.6102340477665718,2.6119597093742457,2.606904117707787,2.6061114925043034,2.61515502134481,2.612481630089229,2.6119597093742457,2.6025964933787322,2.6112109109695827,2.6128576013184315
8,2.801746768862576,2.802971293717765,2.7997758206962984,2.7968376119007776,2.7979979918254845,2.802957437148629,2.80910337781801,2.8054163196943978,2.80522011294937,2.7451416667998156,2.806361586153708,2.80359068425192,2.7398007452892124,2.798626781444439,2.7968376119007776
9,3.7825750043194857,3.752042699220792,3.7143175597059113,3.775364071681685,3.72911984076818,3.780653971668833,3.7667981903663796,3.829043721125494,3.7802251350375835,3.843027852815151,3.8158270071158302,3.8347239736541057,3.8173776370803214,3.800307643381866,3.779848956892193
